model_name,release_year,theme,subtheme,total_pieces,total_mini_figures,availability
Detective's Office,2015,Advanced Models,Modular Buildings,2262,6,Retail - limited
Ferris Wheel,2015,Advanced Models,Fairground,2464,10,Retail - limited
Ferrari F40,2015,Advanced Models,Vehicles,1158,NA,LEGO exclusive
Toy Shop,2015,Advanced Models,Winter Village,898,NA,LEGO exclusive
Ducks,2015,Duplo,Forest Animals,13,1,Retail
Animals,2015,Duplo,Forest Animals,39,2,Retail
Fishing Trip,2015,Duplo,Forest Animals,32,2,Retail
Forest,2015,Duplo,Forest Animals,105,3,Retail
Mom and Baby,2015,Duplo,,13,2,Retail
Ice Cream Truck,2015,Duplo,,11,2,Retail
Cafe,2015,Duplo,,52,3,Retail
Rally Car,2015,Duplo,,13,1,Retail
Airport,2015,Duplo,,29,NA,Retail
Fire Boat,2015,Duplo,Fire,19,NA,Retail
Fire Truck,2015,Duplo,Fire,26,NA,Retail
Fire Station,2015,Duplo,Fire,105,NA,Retail
Sofia the First Royal Stable,2015,Duplo,,38,1,Retail
Sofia the First Royal Castle,2015,Duplo,,87,2,Retail
Disney Princess Collection,2015,Duplo,Disney Princess,63,NA,Retail
Mickey & Minnie Birthday Parade,2015,Duplo,,24,NA,Retail
Batman Adventure,2015,Duplo,,47,NA,Retail
Classic Race,2015,Duplo,Cars,29,NA,Retail
Delivery Vehicle,2015,Duplo,,19,NA,Retail
Camping,2015,Duplo,,38,NA,Retail
My First Bus,2015,Duplo,,17,1,Retail
Jake and the Never Land Pirates Treasure Island,2015,Duplo,,25,NA,Retail
Doc McStuffins Rosie the Ambulance,2015,Duplo,,16,NA,Retail
Doc McStuffins Backyard Clinic,2015,Duplo,,39,NA,Retail
Spider-man 1,2015,Duplo,,NA,NA,Not specified
Spider-man 2,2015,Duplo,,NA,NA,Not specified
My First Tractor,2015,Duplo,,12,2,Retail
My First Playhouse,2015,Duplo,,25,2,Retail
My First Farm,2015,Duplo,,26,2,Retail
Creative Building Box,2015,Duplo,,70,2,Retail
Large Creative Box,2015,Duplo,,193,NA,Retail
Beach Trip,2015,Juniors,,74,1,Retail
Pirate Treasure Hunt,2015,Juniors,Pirates,57,2,Retail
Garbage Truck,2015,Juniors,,99,2,Retail
Road Work Truck,2015,Juniors,,132,2,Retail
Supermarket Suitcase,2015,Juniors,,134,2,Retail
Fire Suitcase,2015,Juniors,,113,2,Retail
Family House,2015,Juniors,,226,3,Retail
Spider-Man Hideout,2015,Juniors,,137,NA,Retail
Creative Bricks,2015,Classic,,221,NA,Retail
Creative Supplement,2015,Classic,,303,NA,Retail
Creative Supplement Bright,2015,Classic,,303,NA,Retail
Creative Building Box,2015,Classic,,580,NA,Retail
Medium Creative Brick Box,2015,Classic,,484,NA,Retail
XXXL Box,2015,Classic,,1500,NA,Retail - limited
Large Creative Brick Box,2015,Classic,,790,NA,Retail
32x32 Sand Baseplate,2015,Classic,,1,NA,Retail
32x32 Green Baseplate,2015,Classic,,1,NA,Retail
48x48 Grey Baseplate,2015,Classic,,1,NA,Retail
Lincoln Memorial,2015,Architecture,Landmark Series,274,NA,Retail - limited
"Flatiron Building, New York",2015,Architecture,Landmark Series,471,NA,Retail - limited
Louvre,2015,Architecture,,695,NA,Retail - limited
The Dungeon,2015,Minecraft,,219,3,Retail
The Snow Hideout,2015,Minecraft,,327,3,Retail
The Desert Outpost,2015,Minecraft,,519,4,Retail
The Nether Fortress,2015,Minecraft,,571,4,Retail
Birds,2015,Ideas,,580,NA,Retail - limited
The Big Bang Theory,2015,Ideas,,484,7,Retail - limited
WALL-E,2015,Ideas,,677,NA,Retail - limited
Smoothie Stand,2015,Friends,,37,1,Retail - limited
Wish Fountain,2015,Friends,,44,1,Retail - limited
Ice Bear Mech,2015,Legends of Chima,,39,1,Retail - limited
A-Wing Starfighter,2015,Star Wars,,58,NA,Retail - limited
AT-DP,2015,Star Wars,,65,NA,Retail - limited
TIE Advanced Prototype,2015,Star Wars,Mini Building Set,47,NA,Promotional
Off-Road,2015,Creator,,43,NA,Retail - limited
Tiger,2015,Creator,,73,NA,Retail - limited
Anacondrai Battle Mech,2015,Ninjago,,43,1,Retail - limited
Jay Nano Mech,2015,Ninjago,,54,1,Retail - limited
The Joker Bumper Car,2015,DC Comics Super Heroes,,47,1,Retail - limited
Swamp Police Helicopter,2015,City,Swamp Police,51,1,Retail - limited
Garbage Truck,2015,City,,48,1,Retail - limited
Go-Kart Racer,2015,City,,45,1,Retail - limited
Space Utility Vehicle,2015,City,Space Port,37,1,Retail - limited
Blue Racer,2015,Creator,,67,NA,Retail
Sea Plane,2015,Creator,,53,NA,Retail
Cargo Heli,2015,Creator,,132,NA,Retail
Red Go-Kart,2015,Creator,,106,NA,Retail
Rainforest Animals,2015,Creator,,215,NA,Retail
Red Creatures,2015,Creator,,221,NA,Retail
Vehicle Transporter,2015,Creator,,264,NA,Retail
Future Flyer,2015,Creator,,237,NA,Retail
Beach Hut,2015,Creator,,286,2,Retail
Toy & Grocery Shop,2015,Creator,,466,2,Retail
Adventure Vehicles,2015,Creator,,282,NA,Retail
Changing Seasons,2015,Creator,,536,2,Retail
Blue Power Jet,2015,Creator,,608,NA,Retail
Valentine's Day Dinner,2015,Seasonal,Valentines,114,2,LEGO exclusive
Painting Easter Eggs,2015,Seasonal,Easter,153,2,LEGO exclusive
Trick or Treat Halloween Set,2015,Seasonal,Halloween,133,NA,LEGO exclusive
Flower Cart,2015,Creator,,71,1,LEGO exclusive
Birthday Cake,2015,Miscellaneous,,120,NA,LEGO exclusive
Iconic Pencil Pot,2015,Creator,,174,2,LEGO exclusive
Piggy Coin Bank,2015,Miscellaneous,,148,NA,LEGO exclusive
Organiser,2015,Friends,,171,NA,LEGO exclusive
Pirates Chess Set,2015,Pirates,,857,20,LEGO exclusive
Sleeping Beauty's Royal Bedroom,2015,Disney Princess,Sleeping Beauty,96,1,Retail
Jasmine's Exotic Palace,2015,Disney Princess,Aladdin,143,1,Retail
Elsa's Sparkling Ice Castle,2015,Disney Princess,Frozen,292,3,Retail
Ariel's Undersea Palace,2015,Disney Princess,The Little Mermaid,379,2,Retail
Aira's Creative Workshop,2015,Elves,,98,1,Retail
Naida's Spa Secret,2015,Elves,,249,1,Retail
Naida's Epic Adventure Ship,2015,Elves,,312,2,Retail
Azari and the Magical Bakery,2015,Elves,,324,2,Retail
The Elves' Treetop Hideaway,2015,Elves,,505,3,Retail
Farran and the Crystal Hollow,2015,Elves,,175,1,Retail
Aira's Pegasus Sleigh,2015,Elves,,319,2,Retail
Skyra's Mysterious Sky Castle,2015,Elves,,808,3,Retail
Vet Clinic,2015,Friends,,192,1,Retail
Vet Ambulance,2015,Friends,,89,1,Retail
Bunny & Babies,2015,Friends,,47,NA,Retail
Puppy Training,2015,Friends,,65,NA,Retail
Little Foal,2015,Friends,,43,NA,Retail
Olivia's Garden Pool,2015,Friends,,82,1,Retail
Mia's Roadster,2015,Friends,,187,1,Retail
Stephanie's Pizzeria,2015,Friends,,87,1,Retail
Heartlake Hair Salon,2015,Friends,,318,2,Retail
Heartlake Lighthouse,2015,Friends,,473,2,Retail
Emma's House,2015,Friends,,706,3,Retail
Heartlake Hot Air Balloon,2015,Friends,,254,2,Retail
Emma's Tourist Kiosk,2015,Friends,,98,1,Retail
Heartlake Skate Park,2015,Friends,,199,1,Retail
Heartlake Private Jet,2015,Friends,,230,2,Retail
Heartlake Grand Hotel,2015,Friends,,1552,5,Retail
Friends Advent Calendar,2015,Friends,Seasonal,233,NA,Retail
Pop Star Recording Studio,2015,Friends,,172,1,Retail
Pop Star Dressing Room,2015,Friends,,279,2,Retail
Pop Star Show Stage,2015,Friends,,446,2,Retail
Pop Star Tour Bus,2015,Friends,,682,3,Retail
Pop Star Limousine,2015,Friends,,265,2,Retail
Heartlake Food Market,2015,Friends,,388,2,Retail
Heartlake City Airport,2015,Friends,,692,3,Retail - limited
Rokit,2015,Mixels,Series 4,66,NA,Retail
Niksput,2015,Mixels,Series 4,62,NA,Retail
Nurp-Naut,2015,Mixels,Series 4,52,NA,Retail
Meltus,2015,Mixels,Series 4,66,NA,Retail
Flamzer,2015,Mixels,Series 4,60,NA,Retail
Burnard,2015,Mixels,Series 4,59,NA,Retail
Globert,2015,Mixels,Series 4,45,NA,Retail
Vampos,2015,Mixels,Series 4,59,NA,Retail
Boogly,2015,Mixels,Series 4,52,NA,Retail
Gox,2015,Mixels,Series 5,62,NA,Retail
Jinky,2015,Mixels,Series 5,59,NA,Retail
Kamzo,2015,Mixels,Series 5,58,NA,Retail
Krog,2015,Mixels,Series 5,60,NA,Retail
Chilbo,2015,Mixels,Series 5,65,NA,Retail
Snoof,2015,Mixels,Series 5,54,NA,Retail
Spugg,2015,Mixels,Series 5,51,NA,Retail
Turg,2015,Mixels,Series 5,56,NA,Retail
Tungster,2015,Mixels,Series 5,60,NA,Retail
Kramm,2015,Mixels,Series 6,NA,NA,Not specified
Forx,2015,Mixels,Series 6,NA,NA,Not specified
Wuzzo,2015,Mixels,Series 6,NA,NA,Not specified
Dribbal,2015,Mixels,Series 6,NA,NA,Not specified
Gurggle,2015,Mixels,Series 6,NA,NA,Not specified
Slusho,2015,Mixels,Series 6,NA,NA,Not specified
Snax,2015,Mixels,Series 6,NA,NA,Not specified
Berp,2015,Mixels,Series 6,NA,NA,Not specified
Vaka-Waka,2015,Mixels,Series 6,NA,NA,Not specified
Cherry Picker,2015,Technic,,155,NA,Retail
Compact Tracked Loader,2015,Technic,,252,NA,Retail
Record Breaker,2015,Technic,,125,NA,Retail
Quad Bike,2015,Technic,,148,NA,Retail
Mining Truck,2015,Technic,,362,NA,Retail
Street Motorcycle,2015,Technic,,375,NA,Retail
Formula Off-Roader,2015,Technic,,494,NA,Retail
Arctic Truck,2015,Technic,,913,NA,Retail
24 Hours Race Car,2015,Technic,,1219,NA,Retail
Fire Plane,2015,Technic,,578,NA,Retail
Race Truck,2015,Technic,,608,NA,Retail
Crawler Crane,2015,Technic,,1401,NA,Not specified
Mercedes-Benz Arocs 3245,2015,Technic,,2793,NA,Retail
Math Train,2015,Education,Duplo,167,NA,Retail - limited
Transformer 10V DC,2015,Mindstorms,,1,NA,Not specified
Bionicle Hero Pack,2015,Bionicle,,9,NA,LEGO exclusive
Spaceport and Jet,2015,City,Virtual Product Collection,1034,NA,LEGO exclusive
City Space Port Starter & Shuttle Collection,2015,City,Virtual Product Collection,262,NA,LEGO exclusive
Deep Sea Explorers Collection,2015,City,Virtual Product Collection,430,NA,LEGO exclusive
Friends Pop Star Collection,2015,Friends,Virtual Product Collection,NA,NA,Not specified
Marvel Super Heroes Collection,2015,Marvel Super Heroes,VIrtual Product Collection,NA,NA,Not specified
Super Heroes DC Collection,2015,DC Comics Super Heroes,,NA,NA,Not specified
Ninjago Collection,2015,Ninjago,Virtual Product Collection,NA,NA,Not specified
Minecraft Collection,2015,Minecraft,Virtual Product Collection,NA,NA,Not specified
Elves Collection,2015,Elves,Virtual Product Collection,NA,NA,Not specified
Doc McStuffins Collection,2015,Duplo,Virtual Product Collection,NA,NA,Not specified
ATV Patrol,2015,City,Swamp Police,59,2,Retail
Swamp Police Starter Set,2015,City,Swamp Police,78,4,Retail
Helicopter Pursuit,2015,City,Swamp Police,253,3,Retail
Crooks' Hideout,2015,City,Swamp Police,473,5,Retail
Swamp Police Station,2015,City,Swamp Police,707,6,Retail
Water Plane Chase,2015,City,Swamp Police,263,2,Retail - limited
Hovercraft Arrest,2015,City,Swamp Police,331,3,Retail - limited
Demolition Starter Set,2015,City,Construction,85,4,Retail
Service Truck,2015,City,Construction,233,2,Retail
Bulldozer,2015,City,Construction,384,2,Retail
Excavator and Truck,2015,City,Construction,311,2,Retail
Demolition Site,2015,City,Construction,776,5,Retail
Space Starter Set,2015,City,Space Port,107,4,Retail
Utility Shuttle,2015,City,Space Port,155,2,Retail
Training Jet Transporter,2015,City,Space Port,448,3,Retail
Spaceport,2015,City,Space Port,586,5,Retail
Pickup Tow Truck,2015,City,Traffic,209,2,Retail
Dune Buggy Trailer,2015,City,Traffic,222,2,Retail
Snowplough Truck,2015,City,Traffic,196,1,Retail
Racing Bike Transporter,2015,City,Traffic,178,2,Retail
4x4 with Powerboat,2015,City,Traffic,301,2,Retail
LEGO City Starter Set,2015,City,Traffic,242,5,Retail
Fire Starter Set,2015,City,Fire,92,4,Retail
Deep Sea Scuba Scooter,2015,City,Deep Sea Explorers,42,1,Retail
Deep Sea Starter Set,2015,City,Deep Sea Explorers,90,3,Retail
Deep Sea Submarine,2015,City,Deep Sea Explorers,274,3,Retail
Deep Sea Helicopter,2015,City,Deep Sea Explorers,388,3,Retail
Deep Sea Exploration Vessel,2015,City,Deep Sea Explorers,717,7,Retail
Deep Sea Operation Base,2015,City,Deep Sea Explorers,907,NA,Retail - limited
City Square,2015,City,Traffic,1683,14,Retail
Heavy-Haul Train,2015,City,Trains,984,5,Retail - limited
City Advent Calendar,2015,City,Seasonal,278,NA,Retail
Spyclops Infiltration,2015,Ultra Agents,,109,2,Retail
Invizable Gold Getaway,2015,Ultra Agents,,237,2,Retail
Drillex Diamond Job,2015,Ultra Agents,,312,2,Retail
Agent Stealth Patrol,2015,Ultra Agents,,475,4,Retail
UltraCopter vs. AntiMatter,2015,Ultra Agents,,614,4,Retail
Ultrasonic Showdown,2015,Ultra Agents,,187,2,Retail
AntiMatter's Portal Hideout,2015,Ultra Agents,,475,4,Retail
Ultra Agents Ocean HQ,2015,Ultra Agents,,1204,5,Retail
Strainor's Saber Cycle,2015,Legends of Chima,,161,2,Retail
Flinx's Ultimate Phoenix,2015,Legends of Chima,,172,2,Retail
Tormak's Shadow Blazer,2015,Legends of Chima,,311,3,Retail
Icebite's Claw Driller,2015,Legends of Chima,,629,4,Retail
Tiger's Mobile Command,2015,Legends of Chima,,712,6,Retail
Bladvic's Rumble Bear,2015,Legends of Chima,,415,3,Retail
Mammoth's Frozen Stronghold,2015,Legends of Chima,,621,5,Retail
King Crominus' Rescue,2015,Legends of Chima,,863,6,Retail
Vultrix's Sky Scavenger,2015,Legends of Chima,,480,3,Retail
 Lion Tribe Pack,2015,Legends of Chima,,78,3,Retail
Ice Bear Tribe Pack,2015,Legends of Chima,,75,3,Retail
Crocodile Tribe Pack,2015,Legends of Chima,,72,3,Retail
Saber Tooth Tiger Tribe Pack,2015,Legends of Chima,,74,3,Retail
Shipwreck Defence,2015,Pirates,,84,2,Retail
Soldiers Outpost,2015,Pirates,,164,3,Retail
Treasure Island,2015,Pirates,,181,3,Retail
Soldiers Fort,2015,Pirates,,234,5,Retail
The Brick Bounty,2015,Pirates,,745,7,Retail
Chain Cycle Ambush,2015,Ninjago,,298,NA,Retail
Jay Walker One,2015,Ninjago,,386,NA,Retail
City of Stiix,2015,Ninjago,,1069,8,Retail
 Blaster Bike,2015,Ninjago,,212,2,Retail
Master Wu Dragon,2015,Ninjago,,575,5,Retail
Ronin R.E.X.,2015,Ninjago,,547,NA,Retail
Attack of the Morro Dragon,2015,Ninjago,,658,6,Retail
Titan Mech Battle,2015,Ninjago,,754,5,Retail
Final Flight of Destiny's Bounty,2015,Ninjago,,1253,9,Retail
Airjitzu Kai Flyer,2015,Ninjago,Airjitzu,46,1,Retail
Airjitzu Jay Flyer,2015,Ninjago,Airjitzu,45,1,Retail
Airjitzu Cole Flyer,2015,Ninjago,Airjitzu,47,1,Retail
Airjitzu Zane Flyer,2015,Ninjago,Airjitzu,42,1,Retail
Airjitzu Morro Flyer,2015,Ninjago,Airjitzu,46,1,Retail
Airjitzu Wrayth Flyer,2015,Ninjago,Airjitzu,43,NA,Retail
Anacondrai Crusher,2015,Ninjago,,219,2,Retail
Condrai Copter Attack,2015,Ninjago,,311,3,Retail
